ID,smiles,density,DetoD,DetoP,DetoQ,DetoT,DetoV,HOF_S,BDE
VOKKUB,COC(=O)[C@]1([N+](=O)[O-])[C@@H]2CCC[C@H]1[C@H]2[N+](=O)[O-],1.5046,5.827,13.7,3.803,2.443,642,-526.4,174.3
XEKLOR,[O-][N+](=O)c1ccccc1CN1CN1Cc1ccccc1[N+](=O)[O-],1.3874,5.076,9.8,3.538,2.27,641,143.5,278.3
BIXCOD,O/N=C(/C(=N/N=C/c1ccc(cc1)[N+](=O)[O-])/C)\C,1.3373,5.104,9.7,3.221,2.327,722,73.4,290.7
TUFKIQ,O=C1N[C@@H](c2ccccc2)C(=C(N1)c1ccccc1O)[N+](=O)[O-],1.4543,4.24,7.1,1.894,1.091,576,-378.5,
GECCUM,O[C@@]1(C=CC2=NCC[C@@]2(C1)C)c1ccc(cc1)[N+](=O)[O-],1.3325,4.095,6.2,1.815,1.345,740,-231.8,294.2
ZUGPOG,N#Cc1c(C)cccc1[N+](=O)[O-],1.4413,4.9,9.4,3.379,1.868,552,63.8,266.5
LEFCEG,C/C(=C\c1ccccc1[N+](=O)[O-])/[N+](=O)[O-],1.4292,5.372,11.2,4.346,2.339,538,-65.6,269.3
JUVMIW01,[O-][N+](=O)C1(C[C@H]2C[C@@H]1CC2([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.7131,7.614,25.4,5.497,3.568,649,-239.8,151.7
HUFPOP,Cn1c2ccccc2c2c1n1nc(c(c1cc2)[N+](=O)[O-])C,1.4421,4.318,7.3,2.008,1.285,639,78.8,338.5
NOQVUL,Cc1ccc(o1)/C=N/c1cccc(c1)[N+](=O)[O-],1.385,4.491,7.7,2.732,1.596,584,-97.2,292.1
YUYQEP,CN(C(=Nc1ccc(cc1)[N+](=O)[O-])N(C)C)C,1.2345,4.417,6.8,1.783,1.691,948,-62.8,310.6
KIRHIC,C#CCCCc1ncc(cn1)c1ccc(cc1)[N+](=O)[O-],1.3399,4.324,7.0,2.551,1.711,670,197.6,288.6
NANILI29,Nc1ccc(cc1)[N+](=O)[O-],1.4571,5.166,10.5,2.945,1.911,649,-77.3,310.8
BATGIN,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)n1cncc1[N+](=O)[O-],1.6504,5.895,14.9,2.678,1.799,671,-937.6,310.2
QATYES,[O-][N+](=O)c1nnn(c1c1cccc2c1cccc2)Cc1ccccc1,1.3559,3.971,5.9,2.039,1.245,610,189.4,292.2
PUWGET,COC(=O)/C(=C(\c1ccccc1)/Nc1ccccc1)/[N+](=O)[O-],1.319,4.039,6.0,2.067,1.242,601,-351.5,278.7
QUGLIN,[O-][N+](=O)N1c2ccccc2C(=O)[C@]1(C)c1ccccc1,1.3407,4.067,6.2,2.269,1.327,584,-117.5,113.6
SEGRUR,Nc1nccc(c1)[N+](=O)[O-],1.4738,5.614,12.5,3.378,2.177,644,-14.1,281.9
GAHKAB02,CC(=O)Nc1cc(ccc1N(C)C)[N+](=O)[O-],1.3663,4.629,8.1,1.878,1.509,803,-306.7,291.8
NIBBEI,O=C1OC2(CCCC2)OC(=O)C1=CNc1cccc(c1)[N+](=O)[O-],1.4688,4.412,7.7,1.95,1.098,563,-831.3,285.4
GEKKUE,O=[N+]1c2cc(ccc2[N-]C21CCCCC2)[N+](=O)[O-],1.4197,5.004,9.7,2.85,2.067,725,-21.5,289.0
