ID,smiles,density,DetoD,DetoP,DetoQ,DetoT,DetoV,HOF_S,BDE
GICTIV,[O-][N+](=O)n1cnc(n1)/N=N/c1ncn(n1)[N+](=O)[O-],1.8303,8.464,32.7,6.08,4.021,661,711.5,125.5
DAJXUH,[O-][N+](=O)c1ccc(c(c1)C(=O)O)[N+](=O)[O-],1.7231,6.565,19.0,4.011,2.119,528,-421.8,247.5
IJUKEE,Oc1ccc(cc1)C(=O)N/N=C/c1ccc(c(c1)[N+](=O)[O-])O,1.4852,4.697,8.8,2.585,1.346,520,-431.2,320.1
SONDEE01,NC(=O)OCc1ncc(n1C)[N+](=O)[O-],1.6245,5.923,14.9,2.753,1.849,671,-419.0,308.3
GIZSOX,O/N=C/1\CCCC1([N+](=O)[O-])[N+](=O)[O-],1.5609,7.022,20.4,5.228,3.562,681,-155.4,114.9
ZAMWIT,Cc1ccc(cc1)n1cc(nc1C)[N+](=O)[O-],1.3728,4.429,7.4,2.04,1.473,722,-41.0,310.7
HOFFOX,CC[C@@]1(CCC(=O)NC1=O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.5022,5.136,10.6,2.875,1.677,583,-568.8,251.6
QQQFGG01,[O-][N+](=O)c1cc(ccc1Nc1ccccc1)[N+](=O)[O-],1.488,5.12,10.5,3.629,1.883,518,-27.5,296.7
NIMFOE,[O-][N+](=O)c1c[nH]c(=O)[nH]c1=O,1.8072,6.665,20.1,2.951,1.789,606,-392.4,284.5
QIFPON,[O-][N+](=O)c1c2N=NN=[n+]2c2c(c1N)[n+](=O)on2,1.9206,8.353,32.8,5.825,3.563,611,553.5,335.2
BAFGUL01,[O-][N+](=O)c1cc(ccc1N/N=C/c1ccccc1O)[N+](=O)[O-],1.5823,5.481,12.5,3.713,1.927,519,-90.5,295.8
PUNDOT,Cc1c([N+](=O)[O-])c(C)cc(c1[N+](=O)[O-])C,1.4108,5.386,11.2,3.787,2.423,639,-172.1,258.8
BICNUW,CCOC(=O)/C(=C/c1ccc(cc1)[N+](=O)[O-])/[N+](=O)[O-],1.4486,5.344,11.2,3.697,2.023,547,-425.5,234.7
ISICUJ,Cc1cc(ccc1NCc1ccccc1)[N+](=O)[O-],1.3064,3.83,5.4,1.617,1.197,740,-92.2,312.2
DIDHIJ,OCC1(CN(C1)C(C)(C)C)[N+](=O)[O-],1.232,4.712,7.8,1.85,1.982,1071,-377.8,238.2
NPHDZA,CC/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C,1.2645,4.545,7.4,2.165,1.873,865,-35.5,308.5
EKELAH,[O-][N+](=O)/N=C/1\NCCN1[N+](=O)[O-],1.7465,8.169,29.6,5.634,4.146,735,84.8,126.2
NUPYON,COc1cc(cc(c1O)/C=N/NC(=O)c1cccc(c1O)C)[N+](=O)[O-],1.4591,4.605,8.4,2.223,1.298,584,-684.5,305.2
ORAWAG,COc1c([N+](=O)[O-])c(OC)c(c(c1[N+](=O)[O-])O)[N+](=O)[O-],1.6941,7.232,22.8,4.991,2.998,600,-488.6,216.2
KUZBAJ,CCOC(=O)/C(=C/c1cc(ccc1N1CCCC1)[N+](=O)[O-])/C#N,1.3662,4.336,7.1,1.934,1.374,710,-358.3,297.9
SUDFOM,[O-][N+](=O)[C@@H]1Oc2c([C@H]1c1ccccc1)c(=O)[nH]cn2,1.5006,4.692,8.9,2.503,1.298,518,-319.2,204.2
BOCPIS,COc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C(C)(C)C,1.359,5.249,10.4,3.448,2.432,705,-333.4,222.4
ARIFUD,OCCCn1c(C)ncc1[N+](=O)[O-],1.4043,5.279,10.7,2.375,2.012,847,-286.2,317.5
BOTMUT,O=c1n2CCCCCc2nc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-],1.5088,5.212,11.0,3.016,1.777,589,-292.4,262.4
CUMQEI,[O-][N+](=O)c1ccccc1/N=N/c1c(C)nn(c1N)c1ccccc1,1.3904,4.624,8.2,2.362,1.642,695,277.0,284.9
AYUGUX01,Cc1ccc(cc1)/N=C/c1cc(ccc1O)[N+](=O)[O-],1.3718,4.114,6.4,2.045,1.252,612,-202.1,304.7
GUVYAY,[O-][N+](=O)c1ccc2c(c1)C[C@H]1N2CCCC1,1.3111,4.005,5.9,1.554,1.277,821,-144.8,313.0
BANHOO01,COc1ccc(cc1)/C=C(/c1ccc(cc1)[N+](=O)[O-])\C#N,1.3732,4.129,6.5,2.475,1.385,559,-32.6,294.1
VUYLAC,CN(/C(=N/c1ccc(cc1)[N+](=O)[O-])/C)C,1.2595,4.434,7.0,1.981,1.714,865,-73.5,308.2
TAWLUZ01,[O-][N+](=O)c1ccc(cc1)n1c2ccccc2c2c1cccc2,1.3922,3.588,4.9,1.762,0.959,544,23.9,293.1
CMNFLU10,N#CC(=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C#N,1.6341,6.114,15.9,4.872,2.139,439,321.9,230.7
BUSLUY,N#C[C@]1([N+](=O)[O-])[C@H]2C=C[C@@H]([C@@H]1c1ccccc1)C2,1.2791,4.089,6.0,2.56,1.672,653,130.8,145.7
LEZPEL,CC1=NN(C(=O)/C/1=N\Nc1ccc(cc1)[N+](=O)[O-])c1ccccc1,1.4166,4.599,8.2,2.444,1.525,623,63.9,296.6
KEPFER,COc1ccccc1c1onc(c1)CN1CCN/C/1=N\[N+](=O)[O-],1.4737,5.157,10.6,2.657,1.877,706,-125.0,215.0
BUGKOE,[O-][N+](=O)Nn1cc(nc1[N+](=O)[O-])[N+](=O)[O-],1.8042,8.745,34.6,6.479,4.327,667,185.9,107.0
BEBVUZ,[O-][N+](=O)c1cccc2c1C=C/C/2=C\N1CCCC1,1.3393,4.066,6.1,1.928,1.427,740,-17.0,301.9
ZUHRID,OC1CCN(CC1)c1ccc(cc1)[N+](=O)[O-],1.4033,4.545,7.9,1.849,1.492,806,-315.1,311.4
TAFTOJ,COc1ncc(cc1[N+](=O)[O-])[N+](=O)[O-],1.6225,6.752,19.3,4.751,2.807,590,-152.5,259.6
GUFLUO,N#C/C(=N\Nc1ccccc1[N+](=O)[O-])/C(=O)C,1.4434,5.209,10.6,3.469,2.009,579,79.2,288.9
VABYEE,Oc1ccc(cc1)/C=N/NC(=O)c1ccc(cc1)[N+](=O)[O-],1.4475,4.579,8.2,2.545,1.399,550,-242.2,288.3
MICMIU,CCCCCNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.3317,5.084,9.6,2.841,2.263,796,-248.5,298.6
CEGVOB,COc1ccc(cc1)C(=O)Nc1ccc(cc1[N+](=O)[O-])OC,1.4485,4.499,8.0,2.23,1.323,593,-535.8,299.3
DAWNAQ,[O-][N+](=O)[C@H]1[C@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-],1.4156,5.672,12.4,3.715,2.641,710,-522.8,102.5
FIDKIM,[O-][N+](=O)C1=C(C)NC(=C2[C@H]1CC(C)(C)CC2=O)C,1.2713,3.92,5.5,1.277,1.144,895,-406.3,297.3
SORYEE01,CN(c1ccc(c2c1c(ccc2[N+](=O)[O-])N(C)C)[N+](=O)[O-])C,1.4472,5.262,10.9,3.044,2.242,736,-42.0,244.2
LALQIZ,CC(=O)C(=NNc1c(C)cccc1[N+](=O)[O-])C(=O)C,1.3902,4.806,8.8,2.514,1.712,681,-306.3,260.1
PAYBAV,CCn1c2ncc(c(=O)n2c2c1cccc2)[N+](=O)[O-],1.4892,4.667,8.7,2.144,1.302,607,-172.4,288.2
BIKKUE,[O-][N+](=O)/C=C(/C(=O)c1ccc(cc1)C)\Nc1ccccc1,1.2941,3.894,5.5,1.976,1.255,635,-168.2,320.4
ZOWDEU,Cc1ccc(cc1Nc1nnn[nH]1)[N+](=O)[O-],1.5419,5.847,14.0,3.222,2.296,712,225.3,288.7
JORBUN,[O-][N+](=O)C(C([N+](=O)[O-])(C)C)([N+](=O)[O-])C,1.5533,7.209,21.4,5.321,3.886,730,-284.5,129.3
POZQOL,O=C[C@@H]1[C@H]([C@@H]1[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-],1.4915,5.556,12.4,4.266,2.227,521,-159.5,237.6
BIPGOZ,[O-][N+](=O)[C@@]1(CCCCC1=O)c1ccc(cc1)[N+](=O)[O-],1.4061,5.004,9.6,3.275,1.944,593,-344.9,117.3
FENQEV,C=CCOC(=O)/C=C/c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],1.4367,5.235,10.7,3.798,1.989,523,-352.9,278.4
BAYXIJ,COC(=O)C(=O)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.6603,6.206,16.6,3.532,1.985,562,-587.2,279.4
WOBJAY,CN(c1ccc(cc1)/C=C/C=N/c1cccc(c1)[N+](=O)[O-])C,1.2993,3.959,5.7,1.81,1.373,758,50.3,293.7
PIMKOL,[O-][N+](=O)O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O[N+](=O)[O-],1.6999,7.487,24.5,5.039,3.347,664,-567.8,136.0
LOFSUV,CCN1C(=O)/C(=N\Nc2ccccc2[N+](=O)[O-])/C(=C(C1=O)C#N)C,1.4927,4.825,9.3,2.359,1.454,616,-196.0,279.8
VIRHAF,[O-][N+](=O)/C(=C/c1c(c2ccccc2)n(c2c1cccc2)C)/C,1.271,3.482,4.3,1.491,1.029,690,-48.2,288.4
VACROG,[O-][N+](=O)c1nn(cn1)CC(=O)NCCO,1.5808,6.14,15.7,3.034,2.212,729,-315.2,284.7
TUMTIE,CC(=O)OCc1ccc(c(c1)NC(=O)C)[N+](=O)[O-],1.4589,4.662,8.6,2.043,1.27,622,-694.7,301.8
KADZEU,O=C(c1ccccc1O)Nc1ccc(cc1)[N+](=O)[O-],1.4631,4.34,7.5,2.19,1.14,520,-402.5,303.1
MINPEF,Cc1ccc(c(c1)C)/N=C/c1cccc(c1)[N+](=O)[O-],1.291,3.775,5.2,1.731,1.221,705,-43.8,291.0
ETUTIY,[O-][N+](=O)c1cccc(c1)N1C=Nc2c(C1)c(ccc2)[N+](=O)[O-],1.5486,5.171,11.0,3.407,1.792,526,48.0,283.6
DARRAQ,O=C1C[C@H](N1c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1,1.4726,4.876,9.5,3.32,1.663,500,-170.1,252.8
SONBUS,COc1nccnc1/C=N\Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.5592,5.79,13.8,3.916,2.206,563,33.5,288.4
DEMPAM,CC1=C[C@@](C)([N+](=O)[O-])[C@@H](C(C1=O)(C)C)[N+](=O)[O-],1.3514,5.231,10.2,3.133,2.319,740,-451.2,108.8
PADQUJ,[O-][N+](=O)C[C@H](c1c(N)n(C)c(=O)n(c1=O)C)c1ccccc1,1.2981,4.048,6.0,1.409,1.037,736,-539.3,250.9
BOPQUU,[O-][N+](=O)c1cc2c(CCC(=O)OCC)c[nH]c2cc1,1.3336,4.076,6.2,1.61,1.101,683,-545.6,304.0
TNPHNT,CCOc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.5581,6.657,18.3,5.07,2.982,588,-234.4,237.3
IVEREH,[O-][N+](=O)C1=C/C(=C/NCC)/C(=O)C=C1,1.4106,4.847,9.1,2.514,1.741,692,-237.9,313.8
DAWNEU,[O-][N+](=O)[C@H]1[C@@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-],1.4189,5.68,12.5,3.714,2.64,710,-523.1,110.2
SECVOL,[O-][N+](=O)N1CCCN(C1C1N(CCCN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.6645,7.534,24.5,5.303,3.902,735,-37.3,166.5
ZZZJIQ02,Nc1ccc(c(c1)[N+](=O)[O-])C,1.3625,4.824,8.8,2.514,1.852,736,-101.5,284.6
BIHVIY,COc1ccc(cc1)/C=C/c1c(cc(cc1[N+](=O)[O-])C(=O)OC)[N+](=O)[O-],1.4428,4.795,9.0,3.238,1.62,500,-537.7,239.7
AKUPUS,OC[C@@H]([C@@H]1NC(=O)c2c1cccc2)[N+](=O)[O-],1.4752,4.722,8.9,2.225,1.346,605,-473.6,212.2
SEKJAU,CC1(C)NC(NC(C1)(C)C)c1ccc(cc1)[N+](=O)[O-],1.1945,3.428,4.0,0.795,0.812,1021,-274.5,296.6
VABWOK,[O-][N+](=O)/N=C\1/C(=N\[N+](=O)[O-])/[C@@]2(C([C@H]1CC2)(C)C)C,1.3332,5.599,11.6,3.793,3.009,793,-3.8,120.0
FIKXAY,COC(=O)[C@@]12[C@H]3C[C@H]4[C@@H]1[C@]1([C@]2([N+](=O)[O-])[C@H]([C@@H]3[C@@H]41)OC)[N+](=O)[O-],1.4619,5.337,11.3,3.601,2.081,577,-580.4,247.1
JEXMEE,[O-][N+](=O)N1CN(C2(C1)CN(CN(C2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.7117,8.066,28.5,5.803,4.238,730,66.3,138.3
WUXHAY,[O-][N+](=O)c1cc(ccc1N/N=C/c1ccccc1)[N+](=O)[O-],1.4641,5.204,10.7,3.736,2.048,548,101.2,297.3
SOXNEA,[N-]=[N+]=CC(=O)c1cccc(c1)[N+](=O)[O-],1.5128,5.44,12.0,3.984,1.985,498,56.7,285.2
ABAGIV,C/C(=N\Nc1ccccc1C)/c1cccc(c1)[N+](=O)[O-],1.2959,4.063,6.0,1.908,1.429,749,29.8,294.9
RIJBIY,CC(=O)c1cccc(c1)n1nc2c(c1[N+](=O)[O-])cccc2,1.433,4.392,7.5,2.492,1.39,557,-25.4,282.6
NOHCAQ,CN1C=C(c2ccccc2)[C@H](NC1=O)c1ccc(cc1)[N+](=O)[O-],1.356,3.916,5.8,1.642,1.071,652,-218.0,291.9
NOSLIQ,[O-][N+](=O)OCC1(COC(=N1)c1cccnc1)CO[N+](=O)[O-],1.5837,6.337,16.8,4.333,2.605,601,-314.4,141.6
PIGLOI,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])n1cnc(c1[N+](=O)[O-])[N+](=O)[O-],1.7603,7.72,26.6,5.561,3.244,583,75.9,245.1
BEDWOX01,O=C1C=CC(=O)N1c1ccc(cc1)[N+](=O)[O-],1.5425,4.913,9.9,2.917,1.348,462,-288.1,293.6
QEBRIB,Cc1ccc(cc1)c1noc2n1cc(n2)[N+](=O)[O-],1.4826,5.169,10.7,3.469,1.91,550,120.9,294.8
IZEQUA,CN1C(=O)/C(=N\Nc2ccc(cc2)[N+](=O)[O-])/C(=O)c2c1cccc2,1.4985,4.582,8.4,2.336,1.291,552,-210.7,296.4
YOHLIS,CC(=O)/C(=C/c1ccccc1)/COc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.3994,4.664,8.3,3.195,1.674,523,-358.5,269.2
NAWPUW,[O-][N+](=O)c1cc(cc(c1N1CCCC1)[N+](=O)[O-])[N+](=O)[O-],1.5793,6.329,16.7,4.693,2.795,595,-85.2,232.2
KARJOC,[O-][N+](=O)c1ccc2c(c1)C(=NCN2)c1ccccc1,1.4616,4.344,7.5,2.181,1.351,619,68.1,306.2
ZEJTUD,CN(c1ccc(cc1)/C=N/Nc1ccc(cc1)[N+](=O)[O-])C,1.2875,4.266,6.6,2.023,1.595,788,91.0,312.4
QAQDAN,CCN([C@H]1CN=NN1c1ccc(cc1)[N+](=O)[O-])CC,1.3019,4.802,8.4,2.153,2.016,936,82.8,304.7
TICSAZ,OC[C@H]1O[C@H](C[C@@H]1[N+](=O)[O-])n1cc(C)c(=O)[nH]c1=O,1.5047,5.029,10.2,2.05,1.355,661,-895.9,214.0
SITPOC,[O-][N+](=O)c1cc(n2cncn2)c(c(c1)[N+](=O)[O-])N,1.6561,6.415,17.7,4.143,2.412,582,111.9,290.4
EYUFEJ,O=NN(CN1C(=O)C(=O)c2c1ccc(c2)[N+](=O)[O-])CCCO[N+](=O)[O-],1.5831,6.17,15.9,4.014,2.355,586,-408.3,150.2
VOQQAU,CC([N+](=O)[O-])([N+](=O)[O-])COCOCC([N+](=O)[O-])([N+](=O)[O-])C,1.5187,7.093,20.4,5.03,3.61,717,-672.4,153.7
QERZAR,[O-][N+](=O)c1ccc(cc1)c1cc(=O)c2c([nH]1)cccc2,1.435,4.014,6.3,2.126,1.074,505,-160.0,288.1
QUYQEH,CC(=O)N1N=C(C[C@@H]1c1ccccc1)c1ccccc1[N+](=O)[O-],1.374,4.099,6.4,1.905,1.242,652,-136.9,258.4
BIVKUM,[O-][N+](=O)c1ccc(cc1)N/N=C/1\C[C@@H]2[C@H]1C[C@H]1[C@@H]2O1,1.3708,4.843,8.9,3.011,2.083,691,54.5,311.5
JAPPAR,CCN1CCO[C@@H](O1)c1ccc(cc1)[N+](=O)[O-],1.3635,4.955,9.2,2.744,2.065,752,-314.3,294.4
QIJDAO,[O-][N+](=O)N1CCc2c1cccc2,1.4498,5.059,10.1,3.016,2.058,682,10.9,121.0
KOTSIV,COc1cc(ccc1N)[N+](=O)[O-],1.4544,5.228,10.8,2.897,1.93,666,-239.0,313.0
BAFHEW,Oc1ccc(cc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.5584,5.427,12.2,3.719,1.93,519,-88.6,298.6
LACLAC,[O-][N+](=O)c1cc(C(=O)N)c(c(c1)[N+](=O)[O-])C,1.5828,5.999,15.0,3.802,2.176,572,-288.1,257.5
RAPLAY,Oc1ccc(c(c1)/C=N/c1cccc2c1cccc2)[N+](=O)[O-],1.4028,3.968,6.1,2.174,1.167,536,-90.6,280.1
DABRIK,O=C(Oc1ccccc1)Nc1ccc(cc1)[N+](=O)[O-],1.4441,4.337,7.4,2.261,1.177,520,-384.2,300.2
CABLIA,CCC(=O)N1C[C@@H]2[C@@]3([C@H]1CC(=O)C=C3CCC2)[N+](=O)[O-],1.3302,3.999,5.9,1.304,1.05,805,-605.0,145.8
NMBYAN,Cc1ccc(cc1)/N=C/c1ccc(cc1)[N+](=O)[O-],1.311,3.933,5.7,2.059,1.345,653,10.6,291.5
EPATAR,O=C1N[C@@H](c2cccc(c2)[N+](=O)[O-])c2c(N1C)cn[nH]c2=O,1.5756,5.002,10.4,2.28,1.357,595,-281.2,288.4
SAHBEK,CNC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],1.5376,5.904,14.3,3.856,2.207,572,-275.9,276.5
OCHTET18,[O-][N+](=O)N1CN(CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.903,9.165,39.2,6.277,4.749,756,101.1,157.2
XAYKEO,Cc1ccc(n1c1ccc(cc1)[N+](=O)[O-])C,1.2531,3.999,5.7,1.996,1.448,725,-52.5,291.4
SITRAQ,COc1cc(n2cncn2)c(cc1[N+](=O)[O-])[N+](=O)[O-],1.5924,6.252,16.4,4.334,2.472,570,5.1,257.5
TNBENZ10,[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],1.6763,7.239,22.7,5.565,3.072,552,-64.1,271.1
PUVSOO,[O-][N+](=O)c1ccc2c(c1)cnn2[N+](=O)[O-],1.6822,6.717,19.6,5.053,2.72,538,172.6,140.5
ACENIH,CC(=O)OCN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])COC(=O)C,1.5864,6.865,19.7,4.014,2.92,727,-866.4,180.5
FINNIA,Oc1ccc(cc1/C=N/N1CCOCC1)[N+](=O)[O-],1.438,5.1,10.2,2.659,1.898,713,-300.0,307.4
JEKQUO,[O-][N+](=O)O[C@@H]1[C@H](Cc2c1cccc2)ON1C(=O)c2c(C1=O)cccc2,1.453,4.521,8.0,2.932,1.352,461,-457.5,150.6
DEKYUO,[O-][N+](=O)c1cc(C(=O)C)c(c(c1)[N+](=O)[O-])O,1.6171,6.169,16.1,3.946,2.151,545,-425.8,262.1
LEFHAH,COc1c(C(=O)N[C@H](C(=O)OC)C)c(OC)c(cc1[N+](=O)[O-])[N+](=O)[O-],1.4506,5.455,11.7,3.2,1.957,611,-970.8,241.0
EVALOD,N#C[C@H](c1cccc(c1)[N+](=O)[O-])CC(=O)c1ccccc1,1.3843,4.034,6.2,2.208,1.236,559,-107.2,288.9
LINVUZ,COc1ccc(cc1)/C=C(/[N+](=O)[O-])\C#N,1.356,4.743,8.4,3.468,1.903,548,-18.1,229.4
LOLFAT,[O-][N+](=O)OC1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-],1.7608,8.429,31.7,5.988,4.385,732,-118.1,139.6
VILQEP,N#CCN1[C@@H](c2ccccc2)C(=C(C1=O)O)C(=O)c1cccc(c1)[N+](=O)[O-],1.476,4.279,7.3,2.269,1.12,493,-385.7,290.3
PILGID,[O-][N+](=O)c1ccc(cc1)c1nc2n(c1NC(C)(C)C)ccnc2,1.3156,4.082,6.1,1.53,1.212,791,-7.6,296.9
FOHMUK,[O-][N+](=O)[C@H]1C[C@@H]1[N+](=O)[O-],1.6034,7.649,24.6,6.135,4.164,678,-68.6,255.3
PUVSEE,CN(/C=C/1\N=C(OC1=O)c1ccccc1[N+](=O)[O-])C,1.4101,4.708,8.5,2.553,1.533,600,-301.1,260.2
WALFUM,CCOc1nc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],1.6108,6.474,17.7,4.043,2.471,611,-414.5,267.3
ONITAN02,[O-][N+](=O)c1ccccc1N,1.4606,5.22,10.8,3.05,1.98,649,-62.8,311.7
MAYKUV,C[C@@H]([C@@H]1[C@H]2OC(O[C@H]2[C@H]2N1C[C@H]1[C@@]2(C1)[N+](=O)[O-])(C)C)O,1.3057,4.5,7.4,1.786,1.549,867,-702.1,276.4
GEDYEU,[O-][N+](=O)N1CCn2c1nnn2,1.6897,7.705,25.8,5.506,3.952,717,374.4,96.7
JOTDOL,CCC(=O)N1CN([C@@H]2[C@H]1OCN2[N+](=O)[O-])C(=O)CC,1.438,5.105,10.2,1.963,1.616,823,-675.4,152.0
XIDKAX,COc1cccc2n1cc(c2)c1ccc(cc1)[N+](=O)[O-],1.4155,4.205,6.8,2.256,1.319,584,-120.9,300.2
LAPVOQ,Cc1ccc(cc1n1cnnn1)[N+](=O)[O-],1.5113,5.706,13.2,3.551,2.327,655,244.3,287.5
JOKLIG,CNC1=C([N+](=O)[O-])[C@@H](c2c(O1)[nH]nc2C)c1ccc(cc1)C,1.3637,4.394,7.3,1.905,1.422,746,-154.0,335.5
GOXKAF,CC(=O)NN(C(=O)c1ccccc1O)c1ccc(cc1)[N+](=O)[O-],1.4265,4.45,7.7,2.185,1.242,568,-521.2,298.9
PASJUP,CC[C@@]([C@@]([N+](=O)[O-])(CC)C)([N+](=O)[O-])C,1.3132,5.422,10.8,2.773,2.739,987,-401.6,179.3
JAYGEW,O=C(Nc1ccc(cc1)[N+](=O)[O-])/C=C\C(=O)O,1.5359,4.987,10.2,2.561,1.337,521,-562.0,292.4
ROGVAL,CCOC(=O)[C@@]1(C[C@H]1c1cccc(c1)[N+](=O)[O-])[N+](=O)[O-],1.5099,5.355,11.6,3.538,1.98,559,-463.8,218.3
RIJMOM,OC[C@H]1O[C@H](C[C@@H]1O)n1ccc2c1ccc(c2)[N+](=O)[O-],1.447,4.64,8.5,2.145,1.382,644,-613.2,304.8
OFOMAX,O=C(c1ccc(cc1)[N+](=O)[O-])OCCn1ccc2c1cccc2,1.3732,3.946,5.9,1.839,1.062,577,-397.4,286.7
NABMIM,OC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.6208,7.626,24.6,5.17,3.505,678,-535.7,140.3
ENPROP,CCOC(=O)[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O[N+](=O)[O-])[N+](=O)[O-],1.5447,6.218,15.9,4.168,2.483,595,-650.8,142.5
ISUQES,N#Cc1c(nc(n1c1ccccc1)C)[N+](=O)[O-],1.4023,4.707,8.5,2.809,1.655,589,156.9,283.8
SULSID,Cc1cc(/C=C/c2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])cc(c1O)C,1.4245,4.666,8.5,2.916,1.663,570,-293.8,265.9
EKAHOP,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1CCC2,1.4184,4.728,8.7,2.689,1.817,675,-101.6,293.9
MENFXN,[O-][N+](=O)C1=C(C)[N+](=O)O[N-]1,1.6593,8.047,27.8,6.774,4.447,656,126.6,262.4
KECTAN,COC(=O)[C@@H]([C@H](C(=O)OC)O)Oc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.6288,6.402,17.4,3.72,2.195,590,-1165.5,246.4
JOPNAD,[O-][N+](=O)[N-][N@+]12CC[N@+](CC1)(CC2)[N-][N+](=O)[O-],1.61,7.625,24.5,5.559,4.829,868,322.6,271.7
NAGGOU,[O-][N+](=O)c1ccc(cc1)n1cnnn1,1.5617,5.95,14.6,4.077,2.39,586,295.1,286.3
MENPPO,O=C1C[C@@H](C(=O)N1C)c1ccccc1[N+](=O)[O-],1.4037,4.378,7.4,2.078,1.193,574,-481.2,272.2
SULROG,[O-][N+](=O)c1nccn1CC(=O)NCCO,1.5144,5.666,13.0,2.689,1.97,732,-392.0,298.1
SITLUF,COc1cc(/C=N/N=C/c2ccc(cc2)[N+](=O)[O-])ccc1O,1.4506,4.684,8.6,2.624,1.572,599,-182.9,293.3
SUGFUV,CC(=O)O[C@H]([C@@H](C([N+](=O)[O-])[N+](=O)[O-])OC(=O)C)C([N+](=O)[O-])[N+](=O)[O-],1.6744,7.33,23.2,4.537,3.014,664,-983.8,151.6
SITQAP,[O-][N+](=O)c1cc(n2cncn2)c(c(c1)[N+](=O)[O-])C,1.5791,6.022,15.1,4.196,2.359,562,98.2,257.4
UJUDOU,COc1cc(ccc1O)[C@@H]1NN=C(C1)c1cccc(c1)[N+](=O)[O-],1.4105,4.472,7.7,2.247,1.446,643,-264.2,291.1
POVKOA,Nc1ccc(cc1)/N=C/c1cccc(c1)[N+](=O)[O-],1.3702,4.294,7.0,2.234,1.453,650,54.9,293.0
VIFBAN,O=C(c1cccc(c1)[N+](=O)[O-])OC(=O)c1cccc(c1)[N+](=O)[O-],1.5382,5.115,10.7,3.149,1.451,460,-565.0,283.6
WADYAD,CCOC(=O)c1ccn2c(c1c1ccc(cc1)[N+](=O)[O-])ncc2,1.3928,4.186,6.7,2.013,1.159,576,-341.4,296.7
PITDAZ,COc1ccc2c(c1)n(cn2)c1ccc(cc1)[N+](=O)[O-],1.4214,4.39,7.5,2.328,1.356,582,-99.3,292.0
LEFZED,CC(=O)Nc1ccc(cc1)Oc1ccc(cc1)[N+](=O)[O-],1.3643,4.16,6.5,2.07,1.193,576,-404.4,300.8
BCONBZ10,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@]12CCCC[C@H]2CC1,1.3971,4.868,9.1,2.921,1.84,629,-516.5,277.7
OTENEI,COc1cc(ccc1C(=O)Nc1ccccc1n1cccn1)[N+](=O)[O-],1.4265,4.402,7.5,2.158,1.286,596,-238.1,289.8
KOBXOO,[O-][N+](=O)c1c(N)[nH][nH]c1=O,1.8333,7.477,25.6,3.879,2.715,699,-123.0,337.3
QAVCIC,[O-][N+](=O)c1cc(ccc1NN1C(=O)c2c(C1=O)cccc2)[N+](=O)[O-],1.5895,5.36,12.0,3.355,1.604,477,-262.6,293.3
ITINEE,OC(=O)c1nnn(c1)CC([N+](=O)[O-])([N+](=O)[O-])Cn1nnc(c1)C(=O)O,1.7817,6.964,21.8,3.646,2.293,629,-459.0,140.3
SUZRAH,[O-][N+](=O)/C=C/1\NCCN1C[C@@H]1CCOCO1,1.4257,5.284,10.9,2.28,2.006,879,-445.4,364.5
